ID,Store,Dept,Date,Weekly_Sales_USD,IsHoliday
01/10/201033,33,96,01/10/2010,7854.09,False
01/10/201016,16,54,01/10/2010,20.0,False
01/10/201021,21,83,01/10/2010,396.64,False
01/10/201035,35,29,01/10/2010,6421.53,False
01/10/201040,40,16,01/10/2010,4536.51,False
01/10/201035,35,30,01/10/2010,4741.6,False
01/10/20108,8,33,01/10/2010,3280.0,False
01/10/201013,13,74,01/10/2010,29526.94,False
01/10/201035,35,31,01/10/2010,5277.7,False
01/10/201035,35,28,01/10/2010,593.9,False
01/10/20102,2,9,01/10/2010,36075.43,False
6,6,26,09/28/2012,6548.86,False
09/28/201226,26,72,09/28/2012,43240.74,False
09/28/201223,23,16,09/28/2012,7333.27,False
09/28/201241,41,6,09/28/2012,4268.86,False
09/28/20122,2,6,09/28/2012,5130.01,False
09/28/201229,29,41,09/28/2012,451.0,False
09/28/201219,19,96,09/28/2012,13827.69,False
09/28/201226,26,25,09/28/2012,6826.46,False
09/28/201220,20,20,09/28/2012,5893.7,False
09/28/20122,2,59,09/28/2012,404.98,False
09/28/201214,14,10,09/28/2012,13125.86,False
09/28/201223,23,3,09/28/2012,13676.18,False
09/28/201215,15,93,09/28/2012,501.72,False
09/28/20126,6,40,09/28/2012,65156.96,False
09/28/201232,32,13,09/28/2012,29451.53,False
09/28/20124,4,56,09/28/2012,872.82,False
09/28/201243,43,4,09/28/2012,16114.96,False
09/28/20122,2,11,09/28/2012,16867.42,False
09/28/201226,26,82,09/28/2012,13825.29,False
09/28/201223,23,2,09/28/2012,69902.67,False
09/28/201240,40,14,09/28/2012,12335.68,False
09/28/201245,45,18,09/28/2012,5547.95,False
09/28/201232,32,94,09/28/2012,47424.44,False
09/28/201242,42,79,09/28/2012,12701.51,False
09/28/201215,15,94,09/28/2012,120.28,False
09/28/201235,35,72,09/28/2012,90018.51,False
09/28/20123,3,11,09/28/2012,6796.76,False
09/28/201215,15,55,09/28/2012,3256.58,False
09/28/201229,29,58,09/28/2012,340.0,False
09/28/201210,10,90,09/28/2012,14328.82,False
09/28/201214,14,23,09/28/2012,24258.55,False
09/28/201210,10,91,09/28/2012,11511.55,False
09/28/201212,12,4,09/28/2012,23820.22,False
09/28/201215,15,49,09/28/2012,8462.65,False
09/28/201230,30,18,09/28/2012,239.23,False
09/28/20123,3,55,09/28/2012,5384.96,False
09/28/20124,4,60,09/28/2012,270.0,False
09/28/201226,26,71,09/28/2012,2656.59,False
09/28/201223,23,18,09/28/2012,8570.59,False
09/28/201224,24,10,09/28/2012,23189.1,False
09/28/201229,29,59,09/28/2012,105.1,False
09/28/201214,14,22,09/28/2012,11231.73,False
09/28/201240,40,27,09/28/2012,1094.29,False
09/28/201220,20,17,09/28/2012,20781.46,False
09/28/201227,27,96,09/28/2012,17110.99,False
09/28/201227,27,90,09/28/2012,88602.1,False
09/28/201223,23,17,09/28/2012,25408.41,False
09/28/201215,15,50,09/28/2012,1873.0,False
09/28/201244,44,74,09/28/2012,563.38,False
09/28/201245,45,74,09/28/2012,8443.41,False
09/28/20127,7,30,09/28/2012,1032.16,False
09/28/20128,8,35,09/28/2012,1187.55,False
09/28/20125,5,26,09/28/2012,1027.88,False
09/28/201223,23,14,09/28/2012,33375.21,False
09/28/201214,14,20,09/28/2012,6676.86,False
09/28/201230,30,20,09/28/2012,72.0,False
09/28/201215,15,56,09/28/2012,2286.41,False
09/28/201229,29,56,09/28/2012,2351.72,False
09/28/20124,4,9,09/28/2012,39254.74,False
09/28/20128,8,36,09/28/2012,594.36,False
09/28/201240,40,25,09/28/2012,5694.6,False
09/28/201244,44,92,09/28/2012,46842.75,False
09/28/201244,44,67,09/28/2012,1029.61,False
09/28/201214,14,19,09/28/2012,1995.8,False
09/28/201235,35,56,09/28/2012,275.86,False
09/28/201211,11,23,09/28/2012,25787.56,False
09/28/201233,33,92,09/28/2012,28692.06,False
09/28/201232,32,9,09/28/2012,24265.54,False
09/28/201215,15,52,09/28/2012,1847.98,False
09/28/201233,33,93,09/28/2012,15694.11,False
09/28/201215,15,46,09/28/2012,10292.02,False
09/28/201235,35,54,09/28/2012,15.0,False
09/28/20124,4,11,09/28/2012,18313.12,False
09/28/201225,25,59,09/28/2012,220.52,False
09/28/201215,15,92,09/28/2012,19808.63,False
